MarketingContentDescription
contentName,location,marketingText,langId,field1,field2,delete
CorporateInfoCenter,,"<div class=""container_static_full_width container_margin_5px""> <div class=""static_page_content""> <div class=""page_header"" role=""heading"" aria-level=""1"">关于我们 </div> <div class=""content_box""> <div class=""header_top"">我们的事迹 </div> <div class=""item_spacer_5px""></div> <div class=""item_spacer_10px""></div> <div class=""info_section""> <p>[storeName] 1957 年建立于纽约市，建立之初是一家小型的货物和服务商店。时至今日，已在全球 15 个国家/地区拥有超过 800 个 [storeName] 百货商店。[storeName] 的员工超过 125,000 人。</p> <br> <p>创建至今，我们始终坚持以公道的价格提供高质量的产品；现在，您可以随时从 [storeName].com 选购商品，它与我们实体店中一直深受您信赖的品牌和风格完全相同。</p> <br> <p>请四处逛逛，希望您能满意！</p> </div> <div class=""header"">我们的宗旨</div> <div class=""info_section""> <p>我们的任务是尽力向客户提供最好且最方便的在线购物体验。我们致力于对提供的产品使用易于打开和环保的包装，并且接受所有主流信用卡。</p> </div> <div class=""header"">企业职责</div> <div class=""info_section""> <p>[storeName] 在公司的各个方面都健康的成长。从“更安全的社区”活动到环境可持续发展项目，我们一直以对顾客、顾客的多样性、顾客的社区以及健康和安全所肩负的责任为荣。</p> </div> </div> </div> <div class=""clear_float""></div> </div>",-7,,,0
CorporateContactUsCenter,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">联系 [storeName] 公司</div> <div class="content_box"> <div class="header_top">[storeName] 总部</div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="info_section"> <p>我们郑重承诺为您提供优质的客户服务。如果您希望与我们联系以提出问题或意见，请在下方选择最合适的公司部门以便我们尽快作出答复：</p> </div> <div class="header">人力资源</div> <div class="info_section"> <p>我们的人力资源部门在周一至周五的上午 8 点至下午 5 点（美国东部时间）提供服务。您可以随时通过电子邮件与我们联系，联系地址为 careers@[storeName].com</p> </div> <div class="header">消费者关系</div> <div class="info_section"> <p>我们的消费者关系部门在周三至周五的上午 8 点至下午 5 点（美国东部时间）提供服务。您可以随时通过电子邮件与我们联系，联系地址为 relations@[storeName].com</p> </div> <div class="header">企业职责</div> <div class="info_section"> <p>有关 [storeName] 企业职责的更多信息，请访问“关于我们”页面或向 info@[storeName].com 发送邮件垂询</p> </div> <div class="item_spacer_50px"></div> <div class="info_section"> <p>[storeName] 公司总部位于：</p> <p>Street123</p> <p>Toronto Ontario</p> <p>Canada M3C-1L1</p> </div> </div> </div> <div class="clear_float"></div> </div>,-7,,,0
EmailFooter,,"<p style=""margin: 0; line-height: 14px;"">我们的任务是尽力向客户提供最好且最方便的在线购物体验。我们致力于对提供的产品使用易于打开和环保的包装。 </p><p style=""margin: 0; line-height: 14px;"">&nbsp;</p> <p style=""margin: 0; line-height: 14px;"">请参阅我们的<a style=""color: #0081AF; text-decoration: none;""class=""link"" href=""[LINK1]"">隐私策略</a>以了解更多信息</p><p style=""margin: 0; line-height: 14px;"">&nbsp;<p style=""margin: 0; line-height: 14px;""><a style=""color: #0081AF; text-decoration: none;"" class=""link""href=""[LINK2]"">www.[STORE_NAME].com</a> | Copyright [STORE_NAME], NY. 2012.</p>",-7,,,0
PasswordChangeNotifyCenter,,<p> 亲爱的 [userName]：<br /><br /><br />我们已收到关于使用电子邮件将密码发送给您的请求。<br /><br />您的密码为：[password]<br /><br />请注意，您的密码区分大小写。<br /><br /><br />谢谢<br />[storeName] 团队</p><br />,-7,,,0
AccountActivationCenter,,<h2 style="color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;">尊敬的用户，</h2>               <p style="line-height: 14px; margin: 0;">您的帐户现在已激活。</p>                             <p style="line-height: 14px; margin: 0;">请单击以下链接以登录并继续购物。               <p style="margin: 15px 0; line-height: 14px; overflow: hidden; width: 558px; word-wrap: break-word;">                <a style="color: #0081AF; text-decoration: underline;" class="link" href="[link]">[link]</a>               </p>                             <p style="line-height: 14px; margin: 0;">谢谢，</p>                             <p style="line-height: 14px; margin: 0;">[storeName] 团队</p>,-7,,,0
OrderCancelNotifyRow1,,<p style="margin:0; padding:0; line-height:14px; color:#404040; font-size:12px; padding-bottom:14px;">感谢您从 [storeName] 订购商品。由于支付授权问题，您的订单（订单号 [orderNumber]）无法完成。要购买以下商品，请致电：1-800-555-1234。再次感谢您在 [storeName] 购物。</p><br />,-7,,,0
OrderShipNotifyRow1,,<p style="margin:0; padding:0; line-height:14px; color:#404040; font-size:12px; padding-bottom:14px;">感谢您从 [storeName] 订购商品。我们已经收到了订单（订单号 [orderNumber]）的支付授权。使用以下送货跟踪号可跟踪此包裹：<strong>[trackingNumber]</strong>。如果您正在将商品送货到其他送货地址或使用备用送货方式，您将收到另一封电子邮件，告知那些送货详细信息。如果您有任何有关订单的问题或疑问，可以将电子邮件发送至 orders@[storeName].com 或致电 1-800-555-1234。再次感谢您在 [storeName] 购物。</p><br />,-7,,,0
PasswordResetNotifyAdminContent,,<h2 style="color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;">亲爱的 [userName]，</h2>               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">我们已收到您重置密码的请求。</p>               <br />               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;"><strong>您的验证码为： </strong>[validationCode]</p>               <br />               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;"><strong>复制验证码并在以下页面上输入以重置密码： </strong>[resetPasswordFormURL]</p>               <br />                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">谢谢，</p>                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">[storeName] 团队</p><br /><br />,-7,,,0
"Buy One, Get One Free",images/catalog/zh_CN/BuyOneGetOneFree_WineGlasses.jpg,购买玻璃酒杯可享受买一送一,-7,,,0
Top Selling Item,images/catalog/zh_CN/TopSellingItem.jpg,当前最畅销的在线商品,-7,,,0
Furniture Category Discount,images/catalog/zh_CN/CategoryDiscount_Furniture.jpg,“家具”类别中的所有商品享受 20% 的折扣,-7,,,0
Free Ground Shipping,images/catalog/zh_CN/ShippingDiscount_FreeGroundShipping.jpg,陆地送货免费,-7,,,0
Set Personalized Catalog,, ,-7,,,0
RecommendedCatEntries,,推荐 ,-7,,,0
HomePageESpotTitle,,新款夏装上市...,-7,,,0
B2BHomePageESpotCategoryTitle,,特色类别,-7,,,0
B2BHomePageESpotCatalogEntryTitle,,热卖产品,-7,,,0
HomeHero1,,<link href="[imagePath]rwdWebAssets/homePageMainESpot/styles.css" rel="stylesheet"/> <div id="homeHero1" class="homeHero">  <div id="homeHero1-background" class="homeHero-background" data-carousel-background></div>  <a id="homeHero1-pageButton" class="homeHero-pageButton" alt="Colors of Summer" data-carousel-pageButton>   <img src="[imagePath]rwdWebAssets/homePageMainESpot/bkgd-girl.jpg"/>  </a>  <div class="imageContainer">     <!--[if !IE 8]><!--><div></div><!--<![endif]-->   <!--[if IE 8]><img src="[imagePath]rwdWebAssets/homePageMainESpot/girl.png"/><![endif]-->     </div>  <div class="textContainer">     <h3><span class="m">夏天</span><span class="s">的 </span><span class="l">颜色</span></h3>   <a class="toggle" href="#" data-toggle="contentCarouselWidget[widgetSuffix]">显示详细信息</a>   <p id="homeHero1-details">鲜艳的色调、宽松的款式和飘逸的面料是我们夏季裙装系列的主要元素。风格轻松，价格优惠到难以置信。</p>     <a class="button" href="[fullPathHomeURL]/apparel/women/dresses">立即购买</a>  </div> </div>,-7,,,0
HomeHero2,,<link href="[imagePath]rwdWebAssets/homePageMainESpot/styles.css" rel="stylesheet"/> <div id="homeHero2" class="homeHero">  <div id="homeHero2-background" class="homeHero-background" data-carousel-background></div>  <a id="homeHero2-pageButton" class="homeHero-pageButton" alt="Luxury Lightweight Jackets" data-carousel-pageButton>   <img src="[imagePath]rwdWebAssets/homePageMainESpot/bkgd-rob.jpg"/>  </a>  <div class="imageContainer">     <!--[if !IE 8]><!--><div></div><!--<![endif]-->   <!--[if IE 8]><img src="[imagePath]rwdWebAssets/homePageMainESpot/rob.png"/><![endif]-->     </div>  <div class="textContainer">     <h3><span class="m">奢华</span><span class="s">轻便</span><span class="l">夹克</span></h3>   <a class="toggle" href="#" data-toggle="contentCarouselWidget[widgetSuffix]">显示详细信息</a>   <p id="homeHero2-details">夏季新款休闲运动夹克，为您打造俊朗的造型并带来凉爽的穿着体验。这些轻质羊毛夹克非常舒适且极为通用，将正装和休闲装的风格集于一体，外形美观流畅。</p>     <a class="button" href="[fullPathHomeURL]/apparel/men/jackets">立即购买</a>  </div> </div>,-7,,,0
HomeHero3,,"<link href=""[imagePath]rwdWebAssets/homePageMainESpot/styles.css"" rel=""stylesheet""/> <div id=""homeHero3"" class=""homeHero"">  <div id=""homeHero3-background"" class=""homeHero-background"" data-carousel-background></div>  <a id=""homeHero3-pageButton"" class=""homeHero-pageButton"" alt=""Simple, Classic Dresses"" data-carousel-pageButton>   <img src=""[imagePath]rwdWebAssets/homePageMainESpot/bkgd-teen.jpg""/>  </a>  <div class=""imageContainer"">     <!--[if !IE 8]><!--><div></div><!--<![endif]-->   <!--[if IE 8]><img src=""[imagePath]rwdWebAssets/homePageMainESpot/teen.png""/><![endif]-->     </div>  <div class=""textContainer"">     <h3><span class=""s"">简约，</span><span class=""m"">经典 </span><span class=""l"">裙装</span></h3>   <a class=""toggle"" href=""#"" data-toggle=""contentCarouselWidget[widgetSuffix]"">显示详细信息</a>   <p id=""homeHero3-details"">带有风情万种的花卉图案、俏皮的印刷字体、丰富多变的条纹以及抢眼的波点图案。无论您喜欢什么样的款式，请浏览我们的青少年服饰系列，相信您能发现新的最爱。</p>     <a class=""button"" href=""[fullPathHomeURL]/apparel/girls/skirts"">立即购买</a>  </div> </div>",-7,,,0
HomeShoeComfortAdContent,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/homePageEspot_Left/styles.css" /> <div class="col4" id="homePageEspot_Left" role="region" aria-label="home page Espot womens shoes">    <div class="homeESpotContainer" id="homePageEspot_Left_Slot">       <div class="textContainer">          <div class="title">                         扁平设计，舒适非凡                       </div>          <div class="bodyText">                         经过精心设计，柔软的皮鞋具有松紧边，非常合脚。这些平底鞋轻便、耐用，其缓冲鞋垫和柔软衬里将使您全天感到舒适。彩色色调蕾丝组合和样式以特殊订单提供。</div>          <div class="button"><a alt="" role="link" aria-label="Shop now womens shoes" href="[fullPathHomeURL]/apparel/women/shoes">立即购买</a></div>       </div>       <div class="imageContainer">       <img alt="" src="[imagePath]rwdWebAssets/homePageEspot_Left/eyeCandy.jpg" />                     </div>    </div> </div> ,-7,,,0
HomePolosDiscountContent,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/homePageEspot_Middle/styles.css" /> <div class="col4" id="homePageEspot_Middle" role="region" aria-label="home page Espot mens shirts">    <div class="homeESpotContainer" id="homePageEspot_Middle_Slot">       <div class="imageContainer">                       <img alt="" src="[imagePath]rwdWebAssets/homePageEspot_Middle/mens.jpg">                     </div>       <div class="textContainer">          <div class="title">                         Polo 衫 5 折                       </div>          <div class="bodyText">                         请从我们的容易搭配的现代 Polo 衫系列中选购，可使您的穿着干练而且休闲。提供的颜色非常多，具有一流保形性和抗皱性。购买金额超过 60 美元（税前）即可享受免费送货。</div>          <div class="button"><a alt="" role="link" aria-label="Shop now mens shirts" href="[fullPathHomeURL]/apparel/men/shirts">立即购买</a></div>       </div>    </div> </div>,-7,,,0
HomeKidsApparelAdContent,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/homePageEspot_Right/styles.css" /> <div class="col4" id="homePageEspot_Right" role="region" aria-label="home page Espot kids">    <div class="homeESpotContainer" id="homePageEspot_Right_Slot">       <div class="textContainer">          <div class="title">                       儿童用品                      </div>          <div class="bodyText">             夏季款式全部要素是俏皮的印刷字体、明亮的色彩、舒适、耐用。可为小孩大量购买我们的穿着舒适且实惠的款式。消费 100* 美元或更多，可获得价值 25 美元的礼券。<div class="finePrint">                         *税前。在下次购物时，可使用礼券。</div>          </div>          <div class="button"><a alt="" role="link" aria-label="Shop now girls category" href="[fullPathHomeURL]/apparel/girls">立即购买</a></div>       </div>       <div class="imageContainer">                     <img alt="" id="kids1" src="[imagePath]rwdWebAssets/homePageEspot_Right/kids1.jpg">                     <img alt="" id="kids2" src="[imagePath]rwdWebAssets/homePageEspot_Right/kids2.png">                   </div>    </div> </div>,-7,,,0
HomeBrightIdeasAdContent,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/homePageEspot1/styles.css" /> <div class="col8" id="homePageEspot1" role="region" aria-label="home page Espot home furnishing">    <div class="homeESpotContainer" id="homePageEspot1_Slot">       <div class="textContainer">          <div class="title">                     巧妙的构想                   </div>          <div class="bodyText">                     将夏季带入您的空间，这里有充满生气的色彩、款式和形状，灵感源自大地和天空。我们将传统和现代家庭风格集于一体的产品系列，会使您家的每个角落都明亮起来。</div>          <div class="button"><a alt="" role="link" aria-label="Shop now home furnishing" href="[fullPathHomeURL]/home---furnishing">立即购买</a></div>       </div>       <div class="imageContainer">                      <img alt="" id="accent1" src="[imagePath]rwdWebAssets/homePageEspot1/accent1.png">                      <img alt="" id="accent2" src="[imagePath]rwdWebAssets/homePageEspot1/accent2.png">    <div id="accent3" class="container">    <div class="accent3">                                     <!--[if IE 8]>      <img alt="" id="accent3" src="[imagePath]rwdWebAssets/homePageEspot1/accent3.png">     <![endif]-->          <!--[if gte IE 9]><!-->                                                        <div></div>                                 <!--<![endif]-->     </div>   </div>     <img alt="" id="accent4" src="[imagePath]rwdWebAssets/homePageEspot1/accent4.png">                   </div>    </div> </div> ,-7,,,0
HomeHandbagsAdContent,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/homePageEspot2/styles.css" /> <div class="col8" id="homePageEspot2" role="region" aria-label="home Page Espot handbags">    <div class="homeESpotContainer" id="homePageEspot2_Slot">       <div class="textContainer">          <div class="title">                     手袋</div>          <div class="bodyText">                     陶醉于奢华的皮革以及精美的绒面革手袋，色彩亮丽得将让您无法呼吸。从特大号的提包到优雅的离合器，您将发现在我们的手工制作时尚产品系列中，有完全符满足您的需求且价格合适的物件。</div>          <div class="button"><a alt="" role="link" aria-label="Shop now womens handbags" href="[fullPathHomeURL]/apparel/women/handbags">立即购买</a></div>       </div>       <div class="imageContainer">                   <img alt="" src="[imagePath]rwdWebAssets/homePageEspot2/bags.jpg">                 </div>    </div> </div>,-7,,,0
WomenLandingPage_Atct_brand1,,Brand1,-7,,,0
WomenLandingPage_Atct_brand2,,brand2,-7,,,0
WomenLandingPage_Atct_brand3,,brand3,-7,,,0
WomenLandingPage_Atct_brand4,,brand4,-7,,,0
WomenLandingPage_Atct_brand5,,brand5,-7,,,0
HeaderESpot15OffPurchaseAd,,购物总额享 15% 折扣,-7,,,0
HeaderESpotFreeShippingSpecial,,免费送货,-7,,,0
HeaderLeftAdvertisement,,<div style="padding:10px 0;background-color:#f5f5f5;color:#C64200;font-size:15px;text-align:center;">所有新客户都可<b>享受 8 折优惠</b></div>,-7,,,0
HeaderRightAdvertisement,,<div style="padding:10px 0;background-color:#f5f5f5;color:#707070;font-size:15px;text-align:center;">购物总额可<b>享受 8.5 折优惠</b></div>,-7,,,0
DressesHeroImage,,<link href="[imagePath]rwdWebAssets/saveOnDresses/styles.css" rel="stylesheet"/>      <div id="saveOnDresses">       <div id="saveOnDresses-bkgrd"><div></div></div>       <div id="saveOnDresses-bkgrd-girl1"><div></div></div>       <div id="saveOnDresses-container">        <div id="saveOnDresses-girl1">                 <!--[if IE 8]>            <img src="[imagePath]rwdWebAssets/saveOnDresses/girl1.png"></img> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="saveOnDresses-girl2">                 <!--[if IE 8]>            <img src="[imagePath]rwdWebAssets/saveOnDresses/girl2.png"></img> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="saveOnDresses-girl3">         <div></div>        </div>        <div id="saveOnDresses-text">                 <h3>热卖<br/>夏装样板</h3>         <p>享受 7.5 折优惠<br/>夏装样板</p>        </div>       </div>      </div>,-7,,,0
HeaderHardwareLeftAdvertisement,,<div style="padding:10px 0;background-color:#f5f5f5;color:#4d4d4d;font-size:15px;text-align:center;">中午之前订购 (EST) - 当天送货</div>,-7,,,0
HeaderHardwareRightAdvertisement,,<div style="padding:10px 0;background-color:#f5f5f5;color:#CA4200;font-size:15px;text-align:center;">检出已展开紧固件类别</div>,-7,,,0
HardwareHeroImage,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/hardwareLandingPage/styles.css" />      <div id="hardwareHeroBanner" class="container">       <div id="hardwareHeroBannerContents" class="espotCont">        <div id="hardwareHeroBanner-houseImg">         <!--[if IE 8]>          <img src="[imagePath]rwdWebAssets/hardwareLandingPage/house.png"> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="hardwareHeroBanner-toolsImg">         <!--[if IE 8]>          <img src="[imagePath]rwdWebAssets/hardwareLandingPage/tools.png"> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="hardwareHeroBanner-screwsImg">         <!--[if IE 8]>          <img src="[imagePath]rwdWebAssets/hardwareLandingPage/screws.png"> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="hardwareHeroBanner-blueprintImg">         <!--[if IE 8]>          <img src="[imagePath]rwdWebAssets/hardwareLandingPage/blueprint.png"> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>                <div id="hardwareHeroBanner-bannerText" class="bannerText">         <div class="line1">          您可以在此         </div>          <div class="line2">          买到<span class="highlight">各种</span>         </div>          <div class="line3">          <span class="highlight"><span class="small"></span> 工具</span>         </div>        </div>        <div class="bannerLine">         您可在此购买各种工具        </div>              </div>      </div> ,-7,,,0
HomePowerDrillsAdContent,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/hardwareLandingPage/styles.css" />      <div id="drillESpotContainer" class="container">       <div id="drillESpot" class="espotCont">        <div id="drillImg">         <!--[if IE 8]>            <img src="[imagePath]rwdWebAssets/hardwareLandingPage/drill.png"></img> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="drillESpot-bannerText" class="bannerText">          <div class="line1">当米尔斯</div>         <div class="line2">电动</div>         <div class="line3">钻机</div>        </div>        <div class="bannerLine">         当米尔斯电动钻机        </div>              </div>      </div> ,-7,,,0
HomeDurableFastenersAdContent,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/hardwareLandingPage/styles.css" />      <div id="boltsESpotContainer" class="container">       <div id="boltsESpot" class="espotCont">        <div id="boltsImg">         <!--[if IE 8]>            <img src="[imagePath]rwdWebAssets/hardwareLandingPage/bolts.png"></img> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="boltsESpot-bannerText" class="bannerText">          <div class="line1">          <span class="highlight large">新品！</span>防干扰螺栓         </div>         <div class="line2">耐用紧固件</div>        </div>        <div class="bannerLine">新品！防干扰螺栓耐久紧固件      </div>       </div>      </div> ,-7,,,0
HomeBXRBuildersAdContent,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/hardwareLandingPage/styles.css" />      <div id="toolsESpotContainer" class="container">       <div id="toolsESpot" class="espotCont">        <div id="toolsESpotBackground">         <!--[if IE 8]>            <img src="[imagePath]rwdWebAssets/hardwareLandingPage/espot_background.jpg"></img> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="toolboxImg">         <!--[if IE 8]>            <img src="[imagePath]rwdWebAssets/hardwareLandingPage/tool_box.png"></img> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div class="bannerText">         <div class="line1">BXR 构建器</div>         <div class="line2">基件</div>        </div>        <div class="bannerLine">         BXR 构建器的基件        </div>              </div>      </div> ,-7,,,0
FastenersESpotCategoryTitle,,购买...,-7,,,0
FastenersESpotCatEntriesTitle,,热卖产品,-7,,,0
FastenersHeroImage,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/fastenersLandingPage/styles.css" />      <div id="fastenersHeroBanner" class="container">       <div id="fastenersHeroBannerContents" class="espotCont">        <div id="fastenersHeroBanner-handyman">         <!--[if IE 8]>          <img src="[imagePath]rwdWebAssets/fastenersLandingPage/fasteners_hero_handyman.png"> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="fastenersHeroBanner-background">         <!--[if IE 8]>          <img src="[imagePath]rwdWebAssets/fastenersLandingPage/fasteners_hero_background.jpg"> <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>                <div id="fastenersHeroBanner-bannerText" class="bannerText">         <div class="line1">          高强度         </div>          <div class="line2">          抗振         </div>          <div class="line3">          紧固件         </div>        </div>        <div id="fastenersHeroBanner-bannerLine" class="bannerLine">         高强度抗振紧固件        </div>       </div>      </div> ,-7,,,0
BoltsAdContent,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/fastenersLandingPage/styles.css" />      <div id="boltsESpot">     <div id="boltsImg"></div>      <div class="bannerText">      <div class="line1">       <span class="highlight large">新品！</span>防干扰螺栓         </div>       <div class="line2">       耐久紧固件      </div>      <div class="bannerLine">       新品！防干扰螺栓耐久紧固件      </div>          </div>    </div> ,-7,,,0
