AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
WSh_Atct_2,Распродажа обуви,"Распродажа женской обуви: при покупке двух пар третья - бесплатно",,-20,0
WSk_Atct_1,Джинсы,Классические джинсы: скидка 20% на вашу любимую пару,,-20,0
WSk_Atct_2,Летняя распродажа,Летняя распродажа: скидка 50% на женские юбки и платья ,,-20,0
WSw_Atct_1,Вечерний блеск,Вечерний блеск,,-20,0
WSw_Atct_2,Уютные свитеры,Уютные свитеры,,-20,0
Accessories_Atct_1,Кристально прозрачный,Кристально прозрачный - 15 % скидка на внешние дисплеи,,-20,0
Accessories_Atct_2,Сэкономьте на аксессуарах,Сэкономьте на аксессуарах - 25 % скидка на аксессуары для компьютера,,-20,0
Appliances_Atct_1,Неизменное совершенство,Неизменное совершенство - скидка 15 % на специальный ассортимент кофеварок,,-20,0
Appliances_Atct_2,Экономьте на крупных кухонных аксессуарах,Экономьте на крупных кухонных аксессуарах: скидка 15 %  на крупные приспособления для кухни,,-20,0
BathAcc_Atct_1,Хлопковые полотенца,"Хлопковые полотенца - при покупке двух третье в подарок",,-20,0
BathAcc_Atct_2,Аксессуары для ванной комнаты,Скидка на аксессуары для ванной комнаты 50 %,,-20,0
Components_Atct_1,Настраиваемые настольные компьютеры,Настраиваемые настольные компьютеры - создайте систему своей мечты,,-20,0
Components_Atct_2,Настраиваемые портативные компьютеры,Настраиваемые портативные компьютеры - выбирайте компоненты по своим потребностям,,-20,0
Desktops_Atct_1,Настраиваемый персональный компьютер,Настраиваемые настольные компьютеры - создайте систему своей мечты,,-20,0
Desktops_Atct_2,Сэкономьте на принтерах,Сэкономьте на принтерах - 50 % скидка на любое периферийное устройство для персонального компьютера,,-20,0
Dairy_Atct_1,Сливочный камамбер,Сливочный камамбер - только на этой неделе $12 за штуку,,-20,0
Dairy_Atct_2,"Молоко, придающее силы","Молоко, придающее силы - только на этой неделе $3,99 за двухлитровый пакет",,-20,0
DesktopsAndLaptops,Настольные и портативные компьютеры,Настольные и портативные компьютеры - создайте компьютер своей мечты,,-20,0
GetReadyForSchool,Подготовьтесь к школе,Подготовьтесь к школе - получите скидку 15 % на некоторые ноутбуки,,-20,0
PowerOnTheGo,"Возможности, которые всегда с вами","Возможности, которые всегда с вами - получите скидку 10 % на некоторые планшетные компьютеры",,-20,0
Fruits_Atct_1,Яблоки Red Delicious,Яблоки Red Delicious - только на этой неделе всего $5 за пятикилограммовый пакет,,-20,0
Fruits_Atct_2,Щедрые ягоды,"Щедрые ягоды - только на этой неделе $3,99 за пакет",,-20,0
Furniture_Atct_1,Мебель для спальни,15 % скидка на мебель для спальни,,-20,0
Furniture_Atct_2,Экономьте на осветительных приборах,Экономьте на осветительных приборах - на некоторые настольные лампы скидка 40 %,,-20,0
FreeDelivery,Бесплатная доставка,Бесплатная доставка - при покупке на сумму больше $100 доставка бесплатно,,-20,0
AtlanticLobster,Атлантический омар,"Атлантический омар - только на этой неделе $18,99 за кг",,-20,0
CrispRomaine,Свежий салат Ромэн,"Свежий салат Ромэн - только на этой неделе $1,99 за кг",,-20,0
FreeConsultation,Бесплатная консультация,Бесплатная консультация - получите совет специалиста при выборе предварительной подписки,,-20,0
NaturalVitamins,Природные витамины,Природные витамины - скидка 25 % на все биодобавки,,-20,0
AutomaticRefills,Автоматическое пополнение,Автоматическое пополнение - подпишитесь на автоматическое пополнение уже сегодня,,-20,0
LivingRoomSale,Распродажа гостиных комнат,Распродажа гостиных комнат: скидка 15 % на мебель для жилых комнат,,-20,0
PerfectEveryTime,Неизменное совершенство,Неизменное совершенство - скидка 15 % на специальный ассортимент кофеварок,,-20,0
SaveOnLighting,Экономьте на осветительных приборах,Экономьте на осветительных приборах - на некоторые настольные лампы скидка 40 %,,-20,0
Kitchenware_Atct_1,Кухонные принадлежности из нержавеющей стали,Кухонные принадлежности из нержавеющей стали - скидка на кухонную утварь 20 %,,-20,0
Kitchenware_Atct_2,Экономьте на крупных кухонных аксессуарах,Экономьте на крупных кухонных аксессуарах: скидка 15 %  на крупные приспособления для кухни,,-20,0
Laptops_Atct_1,Настраиваемые портативные компьютеры,Настраиваемые портативные компьютеры - выбирайте компоненты по своим потребностям,,-20,0
Laptops_Atct_2,Сэкономьте на аксессуарах,Сэкономьте на аксессуарах - 25 % скидка на аксессуары для компьютера,,-20,0
Lighting_Atct_1,Экономьте на осветительных приборах,Экономьте на осветительных приборах - на некоторые настольные лампы скидка 40 %,,-20,0
Lighting_Atct_2,Измените свою гостиную,Измените свою гостиную на мебель для жилых комнат скидка 15 %,,-20,0
Magazines_Atct_1,Журнал Photoritz,Журнал Photoritz - при продлении подписки скидка 50 %,,-20,0
Magazines_Atct_2,Журнал SocietyTime,Журнал SocietyTime - скидка 25 % при подписке на 2 года,,-20,0
Meat_Atct_1,Куры гриль в медовой глазури,"Куры гриль в медовой глазури - куриные грудки $5,99 за кг",,-20,0
Meat_Atct_2,Сашими с лососем,"Сашими с лососем - только на этой неделе $18,99 за кг",,-20,0
Medicines_Atct_1,Автоматическое пополнение,Автоматическое пополнение - подпишитесь на автоматическое пополнение уже сегодня,,-20,0
Medicines_Atct_2,Все природные витамины,Все природные витамины: скидка 25 % на натуральные биодобавки,,-20,0
SubscribeAndSave,Подпишись и сэкономь,Подпишись и сэкономь: при подписке на два или более журналов - скидка 25 %,,-20,0
SubscribeToNewsletters,Подпишитесь на новостные рассылки,Подпишитесь на новостные рассылки - подпишитесь прямо сейчас,,-20,0
SubscribeToMagazines,Журнал Econo Sense,Журнал Econo Sense: не упустите возможность получить двухгодичную подписку по цене годовой,,-20,0
Newsletters_Atct_1,Подпишитесь на новостные рассылки,Подпишись и сэкономь: при подписке на два или более журналов - скидка 25 %,,-20,0
Newsletters_Atct_2,Журнал Delish,Журнал Delish - экономия 25 % на первый год подписки,,-20,0
Tablets_Atct_1,"Возможности, которые всегда с вами","Возможности, которые всегда с вами - скидка 10 % на планшетные компьютеры",,-20,0
Tablets_Atct_2,Подготовьтесь к школе,Подготовьтесь к школе - получите скидку 15 % на некоторые ноутбуки,,-20,0
Tableware_Atct_1,Свободное комплектование,Свободное комплектование - при покупке одного бокала второй вы получаете в подарок,,-20,0
Tableware_Atct_2,Свободное комплектование - тарелки,Свободное комплектование - при покупке одного изделия второе вы получаете в подарок,,-20,0
Vegetables_Atct_1,Морковь с грядки,Морковь с грядки - только на этой неделе всего $2 за пучок,,-20,0
Vegetables_Atct_2,Фасованная смесь для салата,"Фасованная смесь для салата - только на этой неделе $2,29 за пакет",,-20,0
Vitamins_Atct_1,Все природные витамины,Все природные витамины: скидка 25 % на натуральные биодобавки,,-20,0
Vitamins_Atct_2,Желатиновые капсулы от простуды,"Желатиновые капсулы от простуды - желатиновые капсулы во флаконе принесут вам облегчение за $12,99",,-20,0
